algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
MergeSortSerial,MergeSort,SERIAL,1,500000,RANDOM,4,53806714,53.806714,true
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,4,28505330,28.505330,true
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,4,18175640,18.175640,true
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,4,12852747,12.852747,true
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,4,11937415,11.937415,true
MergeSortSerial,MergeSort,SERIAL,1,500000,RANDOM,5,52827956,52.827956,true
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,5,30376487,30.376487,true
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,5,20141186,20.141186,true
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,5,19826867,19.826867,true
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,5,16436501,16.436501,true
QuickSortSerial,QuickSort,SERIAL,1,10000,RANDOM,1,1644341,1.644341,true
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,1,1289756,1.289756,true
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,1,1062344,1.062344,true
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,1,1292464,1.292464,true
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,1,1104065,1.104065,true
QuickSortSerial,QuickSort,SERIAL,1,10000,RANDOM,2,578490,0.578490,true
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,2,1020785,1.020785,true
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,2,1456294,1.456294,true
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,2,1371740,1.371740,true
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,2,1664160,1.664160,true
QuickSortSerial,QuickSort,SERIAL,1,10000,RANDOM,3,1014947,1.014947,true
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,3,1294646,1.294646,true
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,3,1239422,1.239422,true
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,3,1160286,1.160286,true
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,3,810776,0.810776,true
QuickSortSerial,QuickSort,SERIAL,1,10000,RANDOM,4,987892,0.987892,true
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,4,1131912,1.131912,true
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,4,1110433,1.110433,true
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,4,1139750,1.139750,true
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,4,993056,0.993056,true
QuickSortSerial,QuickSort,SERIAL,1,10000,RANDOM,5,1256425,1.256425,true
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,5,959773,0.959773,true
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,5,1092803,1.092803,true
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,5,1044990,1.044990,true
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,5,727345,0.727345,true
QuickSortSerial,QuickSort,SERIAL,1,50000,RANDOM,1,3243920,3.243920,true
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,1,2951830,2.951830,true
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,1,1859630,1.859630,true
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,1,1722045,1.722045,true
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,1,2534808,2.534808,true
QuickSortSerial,QuickSort,SERIAL,1,50000,RANDOM,2,3529238,3.529238,true
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,2,3697281,3.697281,true
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,2,2807233,2.807233,true
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,2,2277429,2.277429,true
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,2,2461275,2.461275,true
QuickSortSerial,QuickSort,SERIAL,1,50000,RANDOM,3,4437755,4.437755,true
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,3,2756256,2.756256,true
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,3,2240752,2.240752,true
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,3,2575995,2.575995,true
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,3,2744906,2.744906,true
QuickSortSerial,QuickSort,SERIAL,1,50000,RANDOM,4,5971272,5.971272,true
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,4,3742293,3.742293,true
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,4,3606010,3.606010,true
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,4,2700600,2.700600,true
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,4,2594144,2.594144,true
QuickSortSerial,QuickSort,SERIAL,1,50000,RANDOM,5,5561151,5.561151,true
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,5,3480650,3.480650,true
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,5,2903118,2.903118,true
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,5,2751607,2.751607,true
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,5,2498571,2.498571,true
QuickSortSerial,QuickSort,SERIAL,1,100000,RANDOM,1,8963542,8.963542,true
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,1,5606257,5.606257,true
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,1,4256130,4.256130,true
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,1,4866980,4.866980,true
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,1,3727435,3.727435,true
QuickSortSerial,QuickSort,SERIAL,1,100000,RANDOM,2,8432407,8.432407,true
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,2,4824002,4.824002,true
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,2,3473827,3.473827,true
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,2,3759219,3.759219,true
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,2,3981385,3.981385,true
QuickSortSerial,QuickSort,SERIAL,1,100000,RANDOM,3,8073389,8.073389,true
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,3,6085704,6.085704,true
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,3,4436041,4.436041,true
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,3,3976872,3.976872,true
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,3,2088881,2.088881,true
QuickSortSerial,QuickSort,SERIAL,1,100000,RANDOM,4,8086310,8.086310,true
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,4,8011758,8.011758,true
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,4,3915733,3.915733,true
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,4,3411476,3.411476,true
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,4,4468020,4.468020,true
QuickSortSerial,QuickSort,SERIAL,1,100000,RANDOM,5,8589164,8.589164,true
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,5,5880817,5.880817,true
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,5,4648075,4.648075,true
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,5,4585932,4.585932,true
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,5,4546440,4.546440,true
QuickSortSerial,QuickSort,SERIAL,1,500000,RANDOM,1,39069518,39.069518,true
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,1,20751682,20.751682,true
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,1,15181272,15.181272,true
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,1,13243643,13.243643,true
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,1,11871115,11.871115,true
QuickSortSerial,QuickSort,SERIAL,1,500000,RANDOM,2,38901602,38.901602,true
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,2,21189640,21.189640,true
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,2,13440085,13.440085,true
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,2,35897327,35.897327,true
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,2,9337583,9.337583,true
QuickSortSerial,QuickSort,SERIAL,1,500000,RANDOM,3,37818800,37.818800,true
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,3,21778967,21.778967,true
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,3,14329232,14.329232,true
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,3,11987380,11.987380,true
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,3,9462136,9.462136,true
QuickSortSerial,QuickSort,SERIAL,1,500000,RANDOM,4,39118911,39.118911,true
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,4,22448177,22.448177,true
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,4,15523263,15.523263,true
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,4,15173647,15.173647,true
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,4,11960747,11.960747,true
QuickSortSerial,QuickSort,SERIAL,1,500000,RANDOM,5,39360757,39.360757,true
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,5,20664484,20.664484,true
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,5,16070809,16.070809,true
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,5,8912616,8.912616,true
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,5,7444152,7.444152,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,SORTED,1,4090,0.004090,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,1,5582697,5.582697,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,1,9978995,9.978995,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,SORTED,1,26481284,26.481284,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,SORTED,1,64136646,64.136646,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,SORTED,2,2666,0.002666,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,2,4822428,4.822428,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,2,12577697,12.577697,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,SORTED,2,27478126,27.478126,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,SORTED,2,65492384,65.492384,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,SORTED,3,1875,0.001875,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,3,8195931,8.195931,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,3,18834974,18.834974,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,SORTED,3,42910159,42.910159,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,SORTED,3,106309949,106.309949,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,SORTED,4,1939,0.001939,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,4,8927866,8.927866,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,4,18025774,18.025774,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,SORTED,4,50938353,50.938353,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,SORTED,4,120630445,120.630445,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,SORTED,5,3024,0.003024,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,5,6870871,6.870871,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,5,20882241,20.882241,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,SORTED,5,60579983,60.579983,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,SORTED,5,97051438,97.051438,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,SORTED,1,3510,0.003510,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,1,15180018,15.180018,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,1,40577652,40.577652,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,SORTED,1,97219387,97.219387,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,SORTED,1,213871193,213.871193,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,SORTED,2,2701,0.002701,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,2,15160457,15.160457,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,2,31077876,31.077876,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,SORTED,2,84362316,84.362316,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,SORTED,2,220980205,220.980205,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,SORTED,3,2759,0.002759,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,3,10386045,10.386045,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,3,27243418,27.243418,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,SORTED,3,52834745,52.834745,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,SORTED,3,164796494,164.796494,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,SORTED,4,3996,0.003996,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,4,16968696,16.968696,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,4,37398477,37.398477,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,SORTED,4,96936777,96.936777,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,SORTED,4,167381792,167.381792,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,SORTED,5,3156,0.003156,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,5,14184047,14.184047,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,5,37671837,37.671837,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,SORTED,5,81081338,81.081338,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,SORTED,5,123613976,123.613976,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,SORTED,1,2679,0.002679,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,1,20283075,20.283075,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,1,53067235,53.067235,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,SORTED,1,102466833,102.466833,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,1,394427946,394.427946,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,SORTED,2,5366,0.005366,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,2,41112981,41.112981,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,2,92325435,92.325435,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,SORTED,2,132982637,132.982637,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,2,485588278,485.588278,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,SORTED,3,3696,0.003696,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,3,19735558,19.735558,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,3,51860000,51.860000,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,SORTED,3,248748787,248.748787,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,3,536498654,536.498654,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,SORTED,4,6139,0.006139,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,4,28877073,28.877073,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,4,92735744,92.735744,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,SORTED,4,169879993,169.879993,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,4,477424899,477.424899,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,SORTED,5,8113,0.008113,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,5,41012456,41.012456,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,5,61081542,61.081542,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,SORTED,5,197034474,197.034474,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,5,435441108,435.441108,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,SORTED,1,6059,0.006059,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,1,54832985,54.832985,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,SORTED,1,101653334,101.653334,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,SORTED,1,460704814,460.704814,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,1,1036071778,1036.071778,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,SORTED,2,2834,0.002834,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,2,48094406,48.094406,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,SORTED,2,123272100,123.272100,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,SORTED,2,344037899,344.037899,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,2,718003672,718.003672,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,SORTED,3,3534,0.003534,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,3,52559331,52.559331,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,SORTED,3,129934565,129.934565,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,SORTED,3,267495969,267.495969,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,3,972781256,972.781256,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,SORTED,4,8308,0.008308,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,4,55022692,55.022692,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,SORTED,4,88381798,88.381798,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,SORTED,4,308697109,308.697109,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,4,939603079,939.603079,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,SORTED,5,5193,0.005193,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,5,58169752,58.169752,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,SORTED,5,171059790,171.059790,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,SORTED,5,343066955,343.066955,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,5,783902724,783.902724,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,SORTED,1,754382,0.754382,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,1,15188693,15.188693,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,SORTED,1,13637189,13.637189,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,SORTED,1,11532640,11.532640,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,SORTED,1,18952492,18.952492,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,SORTED,2,424884,0.424884,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,2,13357503,13.357503,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,SORTED,2,13707383,13.707383,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,SORTED,2,17984914,17.984914,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,SORTED,2,19931536,19.931536,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,SORTED,3,512405,0.512405,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,3,12542560,12.542560,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,SORTED,3,15398892,15.398892,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,SORTED,3,14777439,14.777439,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,SORTED,3,18619519,18.619519,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,SORTED,4,496009,0.496009,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,4,14036047,14.036047,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,SORTED,4,17569897,17.569897,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,SORTED,4,17833474,17.833474,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,SORTED,4,18429300,18.429300,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,SORTED,5,504500,0.504500,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,SORTED,5,16678958,16.678958,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,SORTED,5,8435012,8.435012,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,SORTED,5,8259181,8.259181,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,SORTED,5,13411665,13.411665,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,SORTED,1,872652,0.872652,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,1,12106183,12.106183,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,SORTED,1,13083435,13.083435,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,SORTED,1,32207194,32.207194,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,SORTED,1,38848434,38.848434,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,SORTED,2,1711229,1.711229,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,2,24194156,24.194156,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,SORTED,2,18004405,18.004405,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,SORTED,2,25718870,25.718870,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,SORTED,2,44633062,44.633062,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,SORTED,3,814754,0.814754,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,3,11979309,11.979309,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,SORTED,3,13830461,13.830461,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,SORTED,3,54614370,54.614370,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,SORTED,3,28744551,28.744551,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,SORTED,4,2687936,2.687936,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,4,17047812,17.047812,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,SORTED,4,15952256,15.952256,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,SORTED,4,25378502,25.378502,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,SORTED,4,20605267,20.605267,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,SORTED,5,768537,0.768537,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,SORTED,5,15592280,15.592280,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,SORTED,5,14826116,14.826116,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,SORTED,5,17233300,17.233300,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,SORTED,5,29850032,29.850032,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,SORTED,1,6422277,6.422277,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,SORTED,1,35557569,35.557569,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,SORTED,1,52487384,52.487384,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,SORTED,1,44901447,44.901447,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,SORTED,1,57327210,57.327210,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,SORTED,2,4636560,4.636560,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,SORTED,2,45238824,45.238824,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,SORTED,2,54468724,54.468724,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,SORTED,2,70703549,70.703549,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,SORTED,2,115911339,115.911339,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,SORTED,3,7266477,7.266477,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,SORTED,3,47431518,47.431518,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,SORTED,3,37442217,37.442217,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,SORTED,3,42958299,42.958299,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,SORTED,3,59190981,59.190981,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,SORTED,4,4635429,4.635429,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,SORTED,4,39539911,39.539911,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,SORTED,4,64691262,64.691262,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,SORTED,4,73217607,73.217607,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,SORTED,4,112452347,112.452347,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,SORTED,5,7704814,7.704814,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,SORTED,5,36962375,36.962375,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,SORTED,5,39002054,39.002054,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,SORTED,5,47735713,47.735713,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,SORTED,5,61808766,61.808766,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,SORTED,1,19584107,19.584107,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,SORTED,1,80212180,80.212180,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,SORTED,1,78275672,78.275672,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,SORTED,1,125604481,125.604481,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,SORTED,1,147484477,147.484477,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,SORTED,2,18800238,18.800238,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,SORTED,2,76233217,76.233217,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,SORTED,2,88127761,88.127761,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,SORTED,2,102864089,102.864089,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,SORTED,2,177678048,177.678048,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,SORTED,3,25241052,25.241052,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,SORTED,3,72618853,72.618853,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,SORTED,3,89544514,89.544514,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,SORTED,3,104803673,104.803673,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,SORTED,3,134718251,134.718251,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,SORTED,4,18423262,18.423262,true
