algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,RANDOM,2,87382851,87.382851,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,RANDOM,2,152409702,152.409702,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,RANDOM,2,447049610,447.049610,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,RANDOM,3,23978338,23.978338,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,RANDOM,3,24813127,24.813127,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,RANDOM,3,79518060,79.518060,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,RANDOM,3,160743037,160.743037,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,RANDOM,3,413367464,413.367464,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,RANDOM,4,32483775,32.483775,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,RANDOM,4,23243713,23.243713,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,RANDOM,4,113327641,113.327641,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,RANDOM,4,272529796,272.529796,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,RANDOM,4,419251854,419.251854,true
BubbleSortSerial,BubbleSort,SERIAL,1,5000,RANDOM,5,21822621,21.822621,true
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,RANDOM,5,23389169,23.389169,true
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,RANDOM,5,95853880,95.853880,true
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,RANDOM,5,163111300,163.111300,true
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,RANDOM,5,494635598,494.635598,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,RANDOM,1,96805683,96.805683,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,1,68225927,68.225927,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,RANDOM,1,133975454,133.975454,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,RANDOM,1,375707138,375.707138,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,1,922374823,922.374823,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,RANDOM,2,97554730,97.554730,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,2,63221953,63.221953,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,RANDOM,2,114801837,114.801837,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,RANDOM,2,396351186,396.351186,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,2,994503328,994.503328,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,RANDOM,3,109686116,109.686116,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,3,66459695,66.459695,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,RANDOM,3,144222822,144.222822,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,RANDOM,3,354280004,354.280004,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,3,984368529,984.368529,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,RANDOM,4,106905876,106.905876,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,4,71704705,71.704705,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,RANDOM,4,125570177,125.570177,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,RANDOM,4,473482753,473.482753,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,4,921263633,921.263633,true
BubbleSortSerial,BubbleSort,SERIAL,1,10000,RANDOM,5,100631347,100.631347,true
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,5,77120381,77.120381,true
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,RANDOM,5,151965331,151.965331,true
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,RANDOM,5,312833618,312.833618,true
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,5,933046316,933.046316,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,RANDOM,1,4496344,4.496344,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,1,29025019,29.025019,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,RANDOM,1,16290279,16.290279,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,RANDOM,1,17205687,17.205687,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,RANDOM,1,25023569,25.023569,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,RANDOM,2,581636,0.581636,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,2,10063986,10.063986,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,RANDOM,2,12321687,12.321687,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,RANDOM,2,17789807,17.789807,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,RANDOM,2,21877177,21.877177,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,RANDOM,3,269903,0.269903,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,3,9948036,9.948036,true
