algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,465.876177,53.713632583700615,5,0.0051986,1.1158759036523991e-05,6.974224397827495e-07
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,NEARLY_SORTED,1192.2843594,61.27817287039018,5,23.7637472,0.019931274794176418,0.0012457046746360261
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,951.1113257999999,35.468025591166494,5,102.3167504,0.10757599833430562,0.006723499895894101
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,REVERSED,1236.3883522,125.3171150106023,5,76.83691400000001,0.062146261620208754,0.003884141351263047
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,890.0725018,133.68761036166345,5,0.0051856,5.82604224882032e-06,3.6412764055127e-07
MergeSortParallel,MergeSort,PARALLEL,2,10000,NEARLY_SORTED,1.1308302,0.1388919531117624,5,0.7455314,0.6592779358032709,0.32963896790163544
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,2.4131324,2.809406839981582,5,1.1984166,0.49662281273916015,0.24831140636958007
MergeSortParallel,MergeSort,PARALLEL,2,10000,REVERSED,0.5239342,0.10689163158404871,5,0.2891804,0.5519403009003803,0.27597015045019013
MergeSortParallel,MergeSort,PARALLEL,2,10000,SORTED,0.48539279999999996,0.05803878553346892,5,0.1966132,0.4050599844085038,0.2025299922042519
MergeSortParallel,MergeSort,PARALLEL,2,50000,NEARLY_SORTED,2.0380368,0.4668566896122407,5,2.8601466,1.40338319700606,0.70169159850303
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,3.7429249999999996,0.7349483927232577,5,5.939388599999999,1.586830780739662,0.793415390369831
MergeSortParallel,MergeSort,PARALLEL,2,50000,REVERSED,2.0672834,0.3952952164405737,5,2.4559781999999997,1.1880220196224667,0.5940110098112333
MergeSortParallel,MergeSort,PARALLEL,2,50000,SORTED,1.2641814,0.09203211840058884,5,1.215257,0.961299541347468,0.480649770673734
MergeSortParallel,MergeSort,PARALLEL,2,100000,NEARLY_SORTED,3.6381936,1.0249347470035837,5,5.3020548000000005,1.4573316824041471,0.7286658412020736
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,6.8019248,0.8617211787305107,5,11.3354494,1.6665061336755738,0.8332530668377869
MergeSortParallel,MergeSort,PARALLEL,2,100000,REVERSED,2.5809932,0.25857716881368326,5,2.8088851999999997,1.0882962419273323,0.5441481209636662
MergeSortParallel,MergeSort,PARALLEL,2,100000,SORTED,2.1615348,0.24914853400973488,5,2.738219,1.2667938540707278,0.6333969270353639
MergeSortParallel,MergeSort,PARALLEL,2,500000,NEARLY_SORTED,9.614860799999999,1.1141063860084013,5,15.867114599999999,1.6502698198189203,0.8251349099094601
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,30.1756792,1.5485577169643057,5,54.0652544,1.7916830982216962,0.8958415491108481
