algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
BubbleSortParallel,BubbleSort,PARALLEL,16,5000,SORTED,465.876177,53.713632583700615,5
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,NEARLY_SORTED,1192.2843594,61.27817287039018,5
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,RANDOM,951.1113257999999,35.468025591166494,5
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,REVERSED,1236.3883522,125.3171150106023,5
BubbleSortParallel,BubbleSort,PARALLEL,16,10000,SORTED,890.0725018,133.68761036166345,5
BubbleSortSerial,BubbleSort,SERIAL,1,1000,NEARLY_SORTED,0.33073699999999995,0.09218091555197312,5
BubbleSortSerial,BubbleSort,SERIAL,1,1000,RANDOM,1.9921718,2.218156463194312,5
BubbleSortSerial,BubbleSort,SERIAL,1,1000,REVERSED,1.3202522,1.2005590594142797,5
BubbleSortSerial,BubbleSort,SERIAL,1,1000,SORTED,0.0027188,0.00090777348496197,5
BubbleSortSerial,BubbleSort,SERIAL,1,2000,NEARLY_SORTED,1.3581686,0.6338511231092046,5
BubbleSortSerial,BubbleSort,SERIAL,1,2000,RANDOM,2.6231762,0.5895658307599754,5
BubbleSortSerial,BubbleSort,SERIAL,1,2000,REVERSED,4.3311432,1.770400776174197,5
BubbleSortSerial,BubbleSort,SERIAL,1,2000,SORTED,0.0032244,0.0005413310447406468,5
BubbleSortSerial,BubbleSort,SERIAL,1,5000,NEARLY_SORTED,7.995827,1.2990756625553028,5
BubbleSortSerial,BubbleSort,SERIAL,1,5000,RANDOM,25.2673086,5.601965129202547,5
BubbleSortSerial,BubbleSort,SERIAL,1,5000,REVERSED,20.5409648,2.1785624212692873,5
BubbleSortSerial,BubbleSort,SERIAL,1,5000,SORTED,0.0051986,0.0021220446036782545,5
BubbleSortSerial,BubbleSort,SERIAL,1,10000,NEARLY_SORTED,23.7637472,2.3081439395404266,5
BubbleSortSerial,BubbleSort,SERIAL,1,10000,RANDOM,102.3167504,5.728370403463999,5
BubbleSortSerial,BubbleSort,SERIAL,1,10000,REVERSED,76.83691400000001,12.976716820460808,5
BubbleSortSerial,BubbleSort,SERIAL,1,10000,SORTED,0.0051856,0.0021662218953745252,5
MergeSortParallel,MergeSort,PARALLEL,2,10000,NEARLY_SORTED,1.1308302,0.1388919531117624,5
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,2.4131324,2.809406839981582,5
MergeSortParallel,MergeSort,PARALLEL,2,10000,REVERSED,0.5239342,0.10689163158404871,5
MergeSortParallel,MergeSort,PARALLEL,2,10000,SORTED,0.48539279999999996,0.05803878553346892,5
MergeSortParallel,MergeSort,PARALLEL,2,50000,NEARLY_SORTED,2.0380368,0.4668566896122407,5
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,3.7429249999999996,0.7349483927232577,5
MergeSortParallel,MergeSort,PARALLEL,2,50000,REVERSED,2.0672834,0.3952952164405737,5
MergeSortParallel,MergeSort,PARALLEL,2,50000,SORTED,1.2641814,0.09203211840058884,5
MergeSortParallel,MergeSort,PARALLEL,2,100000,NEARLY_SORTED,3.6381936,1.0249347470035837,5
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,6.8019248,0.8617211787305107,5
MergeSortParallel,MergeSort,PARALLEL,2,100000,REVERSED,2.5809932,0.25857716881368326,5
MergeSortParallel,MergeSort,PARALLEL,2,100000,SORTED,2.1615348,0.24914853400973488,5
MergeSortParallel,MergeSort,PARALLEL,2,500000,NEARLY_SORTED,9.614860799999999,1.1141063860084013,5
